X-acc;Y-acc;Z-acc;label
-50;13;4151;idle
-62;12;4155;idle
-65;7;4157;idle
-51;9;4152;idle
-67;9;4155;idle
-69;13;4150;idle
-61;11;4144;idle
-64;10;4156;idle
-52;10;4152;idle
-56;8;4158;idle
-57;8;4147;idle
-54;13;4158;idle
-54;12;4164;idle
-56;7;4150;idle
-53;9;4163;idle
-56;26;4148;idle
-60;14;4162;idle
-42;6;4154;idle
-51;11;4152;idle
-57;14;4152;idle
-55;14;4156;idle
X-acc;Y-acc;Z-acc;label
-51;-2;4153;idle
-59;7;4149;idle
-59;8;4154;idle
-65;6;4148;idle
-37;5;4159;idle
-63;23;4159;idle
-52;18;4155;idle
-51;9;4152;idle
-51;3;4150;idle
-53;25;4151;idle
-59;14;4159;idle
-66;8;4142;idle
-53;12;4152;idle
-56;12;4154;idle
-54;8;4150;idle
-60;11;4154;idle
-51;7;4146;idle
-53;18;4158;idle
-66;24;4164;idle
-48;15;4170;idle
-53;24;4156;idle
-65;14;4167;idle
-59;23;4158;idle
-38;48;4122;idle
-48;-12;4154;idle
-52;-26;4145;idle
-55;-10;4135;idle
-55;10;4134;idle
-52;10;4157;idle
-45;29;4161;idle
-33;37;4152;idle
-48;10;4149;idle
-61;-20;4144;idle
-72;-12;4147;idle
-62;13;4158;idle
-43;3;4152;idle
-49;20;4148;idle
-51;29;4164;idle
-51;11;4147;idle
-60;-13;4145;idle
-57;0;4144;idle
-59;11;4153;idle
-45;14;4154;idle
-39;20;4154;idle
-56;19;4149;idle
-64;4;4151;idle
-62;-10;4147;idle
-55;-4;4157;idle
-51;17;4152;idle
-40;26;4160;idle
-48;17;4155;idle
-63;4;4159;idle
-60;8;4153;idle
-58;2;4150;idle
-62;3;4151;idle
-47;12;4160;idle
-49;27;4163;idle
-55;23;4156;idle
-47;2;4149;idle
-64;4;4148;idle
-53;3;4151;idle
-60;6;4150;idle
-53;14;4149;idle
-44;15;4161;idle
-45;19;4155;idle
-56;15;4145;idle
-62;1;4145;idle
-59;-1;4151;idle
-61;6;4160;idle
-39;15;4149;idle
-49;22;4161;idle
-55;9;4156;idle
-51;4;4150;idle
-59;-1;4153;idle
-47;7;4157;idle
-54;17;4160;idle
-57;19;4158;idle
-50;12;4162;idle
-48;18;4156;idle
-56;8;4152;idle
-56;-1;4156;idle
-53;24;4159;idle
-56;17;4150;idle
-57;12;4157;idle
-58;9;4163;idle
-54;10;4151;idle
-45;9;4151;idle
-58;7;4153;idle
-46;11;4158;idle
-37;19;4157;idle
-53;10;4154;idle
-54;8;4153;idle
-64;9;4154;idle
-59;-1;4146;idle
-56;8;4155;idle
-62;12;4147;idle
-37;22;4160;idle
-58;18;4153;idle
-56;10;4157;idle
-54;5;4147;idle
X-acc;Y-acc;Z-acc;label
-57;12;4159;idle
-56;15;4153;idle
-54;15;4160;idle
-51;10;4154;idle
-50;2;4151;idle
-60;6;4157;idle
-63;4;4147;idle
-59;1;4152;idle
-46;18;4150;idle
-51;13;4164;idle
-52;4;4159;idle
-42;15;4149;idle
-46;5;4157;idle
-52;9;4150;idle
-62;2;4163;idle
-49;19;4154;idle
-52;16;4150;idle
-53;11;4156;idle
-52;11;4153;idle
-53;16;4154;idle
-61;10;4155;idle
-55;9;4150;idle
-59;11;4155;idle
-41;15;4153;idle
-56;2;4145;idle
-56;1;4157;idle
-55;12;4158;idle
-50;7;4147;idle
-42;15;4155;idle
-51;15;4158;idle
-54;13;4155;idle
-54;0;4160;idle
-54;13;4149;idle
-64;3;4153;idle
-56;11;4157;idle
-59;20;4151;idle
-50;9;4161;idle
-53;5;4150;idle
-53;4;4159;idle
-53;15;4149;idle
-47;2;4151;idle
-50;13;4155;idle
-48;15;4154;idle
-50;5;4150;idle
-58;15;4153;idle
-52;4;4158;idle
-51;12;4151;idle
-42;16;4151;idle
-53;20;4151;idle
-64;14;4155;idle
-48;11;4149;idle
-53;16;4162;idle
-57;6;4151;idle
-59;14;4161;idle
-46;0;4157;idle
-58;14;4157;idle
-51;14;4153;idle
-64;-1;4151;idle
-58;13;4152;idle
-49;20;4148;idle
-57;4;4151;idle
-48;8;4157;idle
-55;9;4148;idle
-49;11;4160;idle
-58;5;4147;idle
-50;11;4149;idle
-53;5;4160;idle
-52;11;4162;idle
-56;15;4155;idle
-55;6;4153;idle
-49;15;4159;idle
-55;15;4152;idle
-53;16;4152;idle
-67;9;4154;idle
-50;10;4156;idle
-54;13;4161;idle
-58;8;4154;idle
-58;10;4157;idle
-56;11;4155;idle
-55;20;4155;idle
-52;-1;4149;idle
-49;16;4154;idle
-61;17;4153;idle
-55;8;4148;idle
-59;20;4158;idle
-40;15;4159;idle
-47;18;4154;idle
-50;12;4152;idle
-49;6;4154;idle
-52;12;4155;idle
-50;3;4146;idle
-65;10;4157;idle
-51;11;4156;idle
-44;8;4157;idle
-57;12;4159;idle
-55;16;4153;idle
-55;8;4151;idle
-48;8;4153;idle
-59;7;4149;idle
-62;9;4152;idle
X-acc;Y-acc;Z-acc;label
-54;15;4157;idle
-47;8;4151;idle
-57;10;4152;idle
-56;5;4156;idle
-53;10;4160;idle
-56;14;4162;idle
-53;12;4146;idle
-56;15;4163;idle
-52;3;4153;idle
-52;4;4153;idle
-61;10;4163;idle
-49;14;4157;idle
-62;10;4150;idle
-50;4;4159;idle
-54;14;4146;idle
-55;10;4164;idle
-61;10;4156;idle
-54;18;4151;idle
-55;4;4154;idle
-56;12;4150;idle
-48;2;4155;idle
-59;12;4154;idle
-53;7;4151;idle
-50;7;4150;idle
-58;15;4161;idle
-51;9;4145;idle
-51;11;4157;idle
-57;11;4153;idle
-51;10;4156;idle
-55;9;4155;idle
-55;14;4154;idle
-51;23;4160;idle
-58;3;4158;idle
-53;9;4157;idle
-53;16;4154;idle
-62;10;4159;idle
-45;11;4149;idle
-55;19;4159;idle
-60;13;4155;idle
-58;13;4150;idle
-53;5;4154;idle
-60;10;4155;idle
-66;12;4154;idle
-45;10;4155;idle
-56;15;4154;idle
-52;6;4155;idle
-52;6;4154;idle
-54;8;4151;idle
-51;12;4154;idle
-50;11;4151;idle
-53;13;4153;idle
-48;14;4153;idle
-45;7;4155;idle
-57;9;4152;idle
-55;7;4154;idle
-52;10;4154;idle
-53;14;4152;idle
-49;8;4148;idle
-50;11;4157;idle
-51;7;4156;idle
-54;21;4155;idle
-47;7;4161;idle
-53;11;4157;idle
-59;15;4154;idle
-47;8;4149;idle
-50;11;4147;idle
-43;3;4144;idle
-54;6;4147;idle
-54;9;4153;idle
-50;10;4155;idle
-47;11;4153;idle
-55;11;4160;idle
-54;13;4154;idle
-59;3;4155;idle
-54;9;4153;idle
-52;10;4153;idle
-56;6;4154;idle
-56;9;4151;idle
-57;10;4154;idle
-51;8;4157;idle
-64;13;4152;idle
-61;8;4150;idle
-50;8;4156;idle
-56;4;4160;idle
-54;13;4153;idle
-56;6;4148;idle
-61;5;4155;idle
-50;7;4147;idle
-57;16;4154;idle
-50;8;4154;idle
-59;6;4154;idle
-47;15;4148;idle
-51;7;4153;idle
-51;7;4154;idle
-50;10;4153;idle
-55;8;4158;idle
-55;17;4157;idle
-59;11;4152;idle
-51;12;4155;idle
-54;4;4156;idle
X-acc;Y-acc;Z-acc;label
-53;5;4153;idle
-60;9;4154;idle
-48;4;4151;idle
-50;15;4157;idle
-58;14;4152;idle
-48;21;4154;idle
-55;17;4152;idle
-59;6;4152;idle
-61;6;4159;idle
-59;4;4149;idle
-52;3;4148;idle
-54;17;4148;idle
-52;11;4161;idle
-56;8;4157;idle
-53;11;4155;idle
-62;9;4156;idle
-51;8;4157;idle
-54;4;4152;idle
-67;4;4162;idle
-55;13;4152;idle
-57;8;4150;idle
-57;7;4154;idle
-50;15;4150;idle
-49;9;4154;idle
-49;17;4155;idle
-59;6;4158;idle
-49;12;4153;idle
-47;10;4152;idle
-63;12;4150;idle
-51;13;4150;idle
-48;15;4156;idle
-47;9;4152;idle
-56;6;4154;idle
-59;16;4153;idle
-60;13;4152;idle
-49;11;4153;idle
-62;9;4147;idle
-52;4;4154;idle
-50;17;4154;idle
-55;10;4151;idle
-61;14;4163;idle
-55;5;4155;idle
-60;11;4156;idle
-61;18;4150;idle
-42;12;4158;idle
-60;9;4156;idle
-49;8;4159;idle
-54;13;4148;idle
-52;9;4153;idle
-57;20;4153;idle
-57;5;4156;idle
-57;9;4152;idle
-54;14;4152;idle
-50;11;4157;idle
-55;6;4150;idle
-51;3;4155;idle
-50;12;4155;idle
-61;13;4157;idle
-55;9;4151;idle
-39;12;4150;idle
-56;6;4162;idle
-51;13;4158;idle
-57;13;4161;idle
-60;7;4154;idle
-62;12;4151;idle
-57;19;4157;idle
-52;14;4157;idle
-59;7;4157;idle
-59;9;4146;idle
-53;10;4155;idle
-51;12;4158;idle
-51;9;4160;idle
-52;14;4157;idle
-55;13;4154;idle
-47;9;4146;idle
-65;13;4156;idle
-61;3;4158;idle
-59;16;4155;idle
-51;9;4153;idle
-53;11;4151;idle
-56;15;4145;idle
-50;14;4155;idle
-56;7;4152;idle
-65;9;4155;idle
-47;12;4157;idle
-57;3;4156;idle
-53;16;4149;idle
-49;9;4156;idle
-54;10;4156;idle
-51;8;4149;idle
-51;9;4154;idle
-46;10;4156;idle
-63;13;4158;idle
-57;8;4151;idle
-59;10;4161;idle
-53;13;4155;idle
-46;7;4151;idle
-54;12;4156;idle
-66;11;4159;idle
-55;8;4160;idle
X-acc;Y-acc;Z-acc;label
-49;3;4154;idle
-46;5;4151;idle
-50;10;4161;idle
-55;6;4152;idle
-71;10;4159;idle
-54;6;4155;idle
-56;10;4155;idle
-51;7;4162;idle
-62;14;4149;idle
-53;4;4153;idle
-63;9;4149;idle
-60;13;4158;idle
-56;18;4153;idle
-45;16;4155;idle
-57;6;4146;idle
-50;17;4154;idle
-61;13;4147;idle
-54;10;4158;idle
-59;3;4154;idle
-55;8;4158;idle
-54;11;4156;idle
-57;16;4153;idle
-53;7;4152;idle
-62;10;4153;idle
-47;9;4162;idle
-54;4;4157;idle
-61;8;4158;idle
-45;18;4147;idle
-59;14;4151;idle
-56;11;4154;idle
-50;11;4158;idle
-49;10;4152;idle
-58;20;4157;idle
-51;9;4148;idle
-45;7;4152;idle
-59;9;4153;idle
-60;12;4157;idle
-56;14;4153;idle
-51;8;4154;idle
-54;14;4150;idle
